processedTweet,label
وبا قاتل 100 سنة والسر الخطير فى عام 20 1720 ضرب مدينة مرسيليا الفرنسية الطاعون العظيم وقتل 100 لف شخص 1820 حصدت الكوليرا رواح البشر فى اندونيسيا وتايلاند والفلبين وقتل 100 لف انسان 1920 الانفلونزا الاسبانية تجاوز ضحاياها كثر 100 مليون انسان,False
وبا قاتل 100 سنة 1720 ضرب مدينة مرسيليا الفرنسية الطاعون العظيم وقتل 100 لف شخص 1820 حصدت الكوليرا رواح البشر فى اندونيسيا وتايلاند والفلبين وقتل 100 لف انسان 1920 كانت الانفلونزا الاسبانية تجاوز ضحاياها كثر 100 مليون,False
1720 ضرب الطاعون العظيم مدينة مارسيليا الفرنسية 1820 ضرب طاعون الكوليرا اندونيسيا تايلاند الفلبين 1920 طاعون الشر الانفلونزا الاسبانية الضحايا بالملايين 2020 طاعون,False
وبا قاتل ماه عام يعنى الرقم 20 100 عام تتبع ولاحظ عام 1720 ضرب الطاعون العظيم مدينه مرسيليا عام 1820 ضربت الكوليرا مدن كثيرة جدا عام 1920 ضربت الانفلونزا الاسبانيه الكارثيه عام 2020 ضرب فيروس كورونا الصين,False
100 عام وبا 1عام 1720 ضرب مدينة مرسيليا الفرنسية الطاعون العظيم قتل يقارب 100 الف شخص 2وفي عام 1820مرض الكوليرا اندنوسيا والفلبين خلفت قتلى 100الف شخص 3عام 1920 مرض الانفلونزا الاسبانية قتلت 100مليون شخص 4عام 2020 مرض كورونا القاتل الصين ويهدد العالم,False
عام 1720 ضرب الطاعون الفرنسي العظيم وقتل 100 الف شخص عام 1820 كانت الكوليرا حصدت 100 الف واكثر البشر عام 1920 كانت الانفلونزا الاسبانيه ضحاياها تجاوزت 100 مليون والن 2020 فايروس قرن قرن بالتمام رقم 20 يحمل مرض,False
عام 1720 ضرب مدينة مارسيليا الفرنسية الطاعون العظيم قتل يام 100 الف شخص عام 1820 ضربت الكوليرا تايلند اندنوسيا قتلت اكثر 100 الف شخص عام 1920 انفلونزا السبانية قتلت 100 مليون شخص عام 2020,False
عام 1720 ضرب مدينة مرسيليا الفرنسية الطاعون العظيم وقتل 100 لف شخص وفي عام 1820 الكوليرا تحصد رواح البشر وحصد الوبا 100 لف انسان وكثر وفى عام 1920 وبعد 100 سنة وهى الانفلونزا الاسبانية كارثة بشرية 100 مليون انسان وعام 2020 يعيش العالم الن كابوس فيروس كورونا,False
معلومه لاتهمك ماه عام ينتشر وبا غامض عام 1720 انتشر الطاعون وكان بسبب القوارض عام 1820 الكوليرا بسبب الارز الملوث عام 1920 الانفلونزا الاسبانيه وهي الاشد فتكا انتشرت الجيوش عام 2020 ويقال بسبب خفاش,False
الخارجية تنفى وفاة مواطن مصرى بفيروس فى الصينية,True
اول مصري يموت بفيروس كورونا وفاة الشاب المصري محمد براهيم البربري الصين بمرض فيروز كورونا القاتل يدرس كلية الطب البشري مدينة ووهان الصينية خالص العزا والمواساة للسرة ولجميع احباة الصبر والسلوان,False
حقيقة وفاة شاب مصري بـ الصين,True
ول مصري يموت بفيروس كورونا وفاة الشاب المصري محمد براهيم البربري الصين بمرض فيروز كورونا القاتل يدرس كلية الطب البشري مدينة ووهان الصينية خالص العزا والمواساة للسرة ولجميع احباة الصبر والسلوان,False
يكشف حقيقة وفاة مواطن مصري بـ,True
عاجل سفير مصر يكشف حقيقة وفاة مصري صابته بـ التفاصيل,True
سفير بـ يكشف حقيقة وفاة مصري بفيروس,True
تنفى وفاة مواطن مصرى بـ فى ووهان الصينية,True
تنفى وفاة مواطن مصرى بـ فى الصينية,True
تداولت نبا الساعات الخيرة وفاة مصري البعثة المصرية ووهان جرا صابته بفيروس,True
لنفي شاعة صابته بكورونا سيلفي لمواطن صيني فراد وموظفي مستشفى كفر الدوار العام,True
نفيا للشاعات عاملون بمستشفى بـ يلتقطون سيلفي مريض صيني زار المستشفى مصابا بارتفاع درجة الحرارة شاعة صابته بـ,True
صيني درجة حرارته ارتفعت فراح مستشفى كفر الدوار فحجزوه لاشتباه الصابة فيروس كورونا الناس بقى تاخد احتياطتها الصحية وتخاف نفسها طبعا الناس جري راحين متصورين معاه سيلفي كنه محمد صلاح ولولا ستر ربنا الراجال طلع سليم زمان كفر الدوار بقت كفر كورونا,False
ظهور اول حاله لجنبي بفيروس كرورنا والعالملين مستشفي كفر الدوار بياخدوا معاه سيلفي والله وباذن الله بسبب خفة دمكم وثقتكم بالله فان شا الله كرورنا مش هيدخل مصر باذن الله,False
انا قرت خبر بيقول ان اللي الصورة دي عاملين مستشفي كفر الدوار المركزي واخدين سيلفي صيني مشتبه صابته حد ينفي الخبر انتحر سمحتوا,False
العلان فى مصر اختراع علاج مرضى المراض المستعصية طريق اكل الكفتة العلان فى مصر اختراع علاج مرضى فيروس كورونا القاتل طريق اكل البلح الزغلول,False
علاج جديد خلال 3 سابيع البلح الزغلول تصريح وزيرة الصحة هالة هانم زايد وماله العنب مدام واللا علشان مجاملة لبلحة الصحة تعرف المجاملات قاهرة كورونا الصين,False
هجوم اسراب الغربان والبعوض الصين شي عجيب,False
فيديوهات للاف الغربان تحلق ووهان الصينية تثير الجدل,False
شاهد فيديو للاف الغربان تحلق ووهان الصينية برة كورونا يثير الرعب والكشف حقيقته,True
مقطع فيديو لسراب الغربان مدينة ووهان الصينية يثير القلق,True
ووهانالصين لاف الغربان تحلق مدينة الصينية ظهر فيروس كورونا وهناك الكثير المخاوف والتسالات المشهد الغريب,False
الغربان اذا شاهدت جثث تحوم حولها اللهم لطفك وسترك بكل مستضعف وموحد وجه الرض ياكريم,False
انتشار الغربان وحشرات غريبه طلعت بشكل كثيف بالتزامن فايروس انه امر الله اتاهم بسبب ظلمهم وتجبرهم علي الايغور المسلمين المسالمين,False
300 مليون بشر صيبوا حول الباذنجان يتكلم حالات عابرة يحققوا المشهد مرعب دم الرعب تعتبر دعابة مام مشهد الغربان الكواسر تقتات الموتى قلت نتم مسلمون عبد الله,False
كثر يرعب الصينيين الغربان تحوم سماهم فهي الحيوانات الوحيدة مريكا تشتم الجثث يموت صحابها,False
شنو اللي قاعد يصير هجوم اسراب الغربان والبعوض الصين بطريقة عجيبه وغريبه يالله سترك رب العالمين,False
الصين تباد بفايروس كورونا والن ظاهرة هجوم الغربان والبعوض الكبير ينتشر مدنها والجميع صدمة الظواهر الله العظيم,False
حادثة الغربان والبعوض جمهورية,False
فيروس كرونا هجوم اسراب الغربان والبعوض الصين شي عجيب مايعلم جنود ربك الا ربكم تدعون الله,False
الله لله حكمة ونذر وبا اصاب بالذعر والخوف وكذلك دول خرى يجتاح مناطقها ظاهرة غربية سراب الغربان وكتل البعوض مايجري الكون العزيز ملك الملوك ولسبب وحكمة اللهم انا نعوذبك البرص والجنون والجذام سي السقام,False
فايروس سراب طايور الغربان الباعوض الكبير تهاجم الصين ظاهرة قل نظيرها ولم تحدث دولة الصين الشعبية شاهد,False
هجوم سراب الغربان والبعوض العملاق الصين الله,False
الله مابعد هجوم سراب الغربان والبعوض,False
منظر الغربان يثير الرعب انتشارها عدة مناطق يسبق مشاهدة اعداد كبيرة الغربان المدن الصينية يعتقد ان سبب كثرة الموتى انتشار فايروس الصين,False
اسراب الغربان والبعوض تضرب الصينسبحانك ربي,False
الغربان ملت الشوارع الخالية الصين,False
لقد رحل الناس والغربان تغزو المدينة,False
اسراب الغربان والباعوض الضخم تغزو الصين الغربان تجتمع الجيف ممكن مجتمعة جثث موتى كورونا عوذ بالله فجة نقمته وتحول عافيته وجميع سخطه الله يحفظ مسلمي الصين والمسالمين منهم,False
وكالة النبا الفرنسية تكشف حقيقة فيديو لاف الغربان المحلقة ووهان الصينية,True
شاهد فيديو للاف الغربان تحلق ووهان الصينية برة كورونا يثير الرعب والكشف حقيقته صحيفة المرصد,True
فيديو كورونالاف الغربان تحلق ووهان الصينية,True
ملاحدة الصين اين قوتكم العالمية امام قوة الله القوي الجبار كورونا الان البعوض الغربان,False
حاله الذعر تصيب سكان الصين حلقت سراب كبيره الغربان والغربان الثقافه الصينيه نذير شم ثارة حاله الهوس والفزع الصينيين,False
الكثير الصينيين يشاركون فديوهات انتشار الغربان فالصين وهذه واحده التعليق الانتشار السريع لوبا الالتهاب الروي ووهان تحلق العديد مجموعات الغربان هوبى وخنان وحتى تيانجين الناس سيموتون,False
فيديو الغربان تغزو ووهان تزامنا تفشي كورونا والسلطات الصينية توضح,True
يومان الريس الصيني متبجح توجد قوة الكون تستطيع ركاع فتاهم رد الله العزيز الجبار القوي المقتدر وبعد كورونا ظهر سراب الغربان والبعوض اليوم الصين وسيعلم ظلموا منقلب ينقلبون,False
فيديو مرعب حقيقة لاف الغربان تحلق ووهان,True
هجوم البعوض وسراب طار الغراب شوارع الصين,False
الصين خطر هجوم سراب طار الغراب البعوض شوارع الصين الله,False
فيروس كوروناسراب منطار الغرابوالبعوضتمل الصين,False
بغداد خبر اغلاق الحدود ايران والعراق بسبب انتشار فايروس الجديد عار الصحة تماما وحكومة تعلن اطلاقا,True
عاجل بغداد خبر اغلاق الحدود ايران والعراق بسبب انتشار فايروس الجديد عار الصحة تماما وحكومة تعلن اطلاقا,True
وزارة الصحة العراقية تطالب بغلاق المعابر الحدودية خوفا انتشار فيروس,False
وزارة الصحة العراقية تطالب بغلاق الحدود خوفا انتشار,False
وزارة الصحة العراقية تطالب بغلاق المعابر الحدودية خوفا,False
عاجل صدرت وزارة الداخلية العراقية قرارا يفيد بغلاق المنافذ الحدودية وتعليق منح التشيرات السياحية للمواطنين اليرانيين وذلك توصية وزارة الصحة العراقية بسبب مخاوف انتقال فيروس,False
بسبب يغلق معبرا حدوديا خلفية تسجيل حالتي وفاة وصابات بالفيروس يران علام محلي خلية الزمة بوزارة الصحة العراقية قررت منع دخول المواطنين الايرانيين لى العراق شعار خر,False
وزارة الصحة العراقية تطالب بغلق الحدود بسبب تفشي فايروس عدد مدنها,False
وزارة الصحة تطالب الحكومة العراقية باغلاق الحدود يران خوفا انتقال فايروس صابات العشرات يران ووفاة شخصين قم الايرانية,False
وزارة الصحة تنفي مطالبتها باغلاق المنافذ الحدودية ايران,True
وزارة الصحة تقرر منع دخول اليرانيين لى العراق وتمنع السفر الى ايران شكرا فايروس بسببك انغلقت الحدود والرحلات الجوية نضل الحكومة نبقى دكة الباب ويدخلون,False
السفير اليراني العراق ينفي اشاعات تتحدث غلاق الحدود الجانبين مكدا بان رحلات الجوية البلدين تجري بشكل طبيعي,True
الوافدون ايران ممنوعون دخول العراق والسبب فيروس كورونا قرر العراق الخميس منع الوافدين يران دخول راضيه عبر كافة المنافذ الحدودية,False
ذباب زعلانين ليش نشكر المارات جلا الطلاب اليمنيين ووهان الصينية ونفس الذباب عمل سبوع حملة لشكر سلطنة عمان جلا اليمنيين والخبر ساسه كذب كذب عشان المارات عدوة مستحيل يشكروها منافقين,True
انتهى الموضوع وصدقتم اشاعة اجلا عمان للطلبه اليمنيين,True
الى الان يتم اجلا اي طالب يمني الصين سلطنة عمان اي دوله اخرى,True
منشادات مستمرة للطلاب اليمنيين الصين وخوفهم الاصابة بفيروس كورونا سارعت سلطنة عمان برسال طارة لجلب الطلاب اليمنيين المتواجدين مدينة ووهان الصينية برة فيروس كورونا الجديد لخذ 0 طالب يمني,False
ظل غياب وعدم استجابة حكومتنا ودول التحالف لمناشدة الطلاب اليمنيين سلطان عمان هيثم بن طارق يمر بجلا الطلاب اليمنيين الصينيه لنقاذ حياتهم,False
شكر البعض عمان جلا الطلاب اليمنيين الصين وشكر بعضهم العميد حمد علي وخرون شكروا الوزير الميسري حكومتنا والدنق وبني انتقالي اتفقوا شكرا دولة المارات المتحدة جلا الخير الصين الاخبار تكد الطلاب زلوا الصين بنتظار ينقذهم فيروس كورونا,False
وبامر السلطان ترسل طارة لجلا الطلاب اليمنيين الصينيه لنقاذ حياتهم فعلا,False
ظل غياب وعدم استجابة حكومتنا ودول التحالف لمناشدة الطلاب اليمنيين سلطان عمان هيثم بن طارق يمر بجلا الطلاب اليمنيين الصينيه لنقاذ حياتهم القليل امثالك,False
سبوعين وعدة الحكومة اليمنية باجلا الطلاب اليمنيين ووهان الصينية والى الان يتم شي كذالك تم تداول خبر عمان الشقيقة وعدة باجلاهم سمعنا ولم نرا القل لى الحضه هاذي نامل التحالف تبني الحالة جل الطلاب الموجودين ووهان,True
هام وخطير نبا وفاة طفل بـ مشفى وصابة خالة الطفل كانت برفقته وتم عزل القسم توجد الخالةوشوهد الطبيب المعالج يبكي خوفا بسبب سعال الطفل بوجهه يتم تشخيص المرض وتكتم شديد المن والمشفى,False
نبا وفاة طفل مشفى مصادر اعلامية,False
محنقلا وال الخالدي مدير مركز باك هوم باريس نبا وفاة طفل بـ فيروس كورونا مشفى المجتهد وصابة خالة الطفل كانت برفقته وتم عزل القسم توجد الخالة وشوهد الطبيب المعالج يبكي خوفا بسبب سعال الطفل بوجهه يتم تشخيص المرض,False
هام وخطير نبا وفاة طفل بـ مشفى وصابة خالة الطفل كانت برفقته وتم عزل القسم توجد الخالةوشوهد الطبيب المعالج يبكي خوفا بسبب سعال الطفل بوجهه يتم تشخيص المرض وتكتم شديد,False
انتشار كورونا يران مرعب كثر انتشاره الصين نفسها فهذه الدولة تعتمد المهدي المسردب مورها وممكن جدا تصف العلاج برحلة للنجف التطين بطينة العباس دير الزور زيارة دم الحسين حلب والجهاد دلب اليوم سمعنا خبر وفاة طفلة بكورونا مشفى المجتهد بدمشق,False
انتشار كورونا يران مرعب كثر انتشاره الصين نفسها فهذه الدولة تعتمد المهدي المسردب مورها وممكن جدا تصف العلاج برحلة للنجف التطين بطينة العباس دير الزور زيارة دم الحسين حلب اليوم سمعنا خبر وفاة طفلة بكورونا مشفى المجتهد بدمشق,False
صاحب شاعة وجود حالات فيروس كورونا سورية صحفي اسمه وال الخالدي تابع لهمج الفورة يذكر وزير الصحة سورية نفى وجود حالة لفيروس كورونا سورية,False
تظهر خريطة مروعة جديدة طبيعة الانتشار يمكن وقفه لفيروس كورونا الجديد نحا العالم ويكشف الرسم البياني المذهل كيفية تحرك 5 ملايين سكان ووهان الصينية نقطة صفر تفشي الفيروس وضع المدينة الحجر الصحي,False
باحثون نشروا خريطة لاحتمالية انتشار حول العالم خلال الشهر الثلاثة القادمة الحصاية مبنية قاعدة بيانات 60000 شخص 5 ملايين شخص فروا المدينة اجراات حظر السفر ولي المدينة,False
الخريطة المتوقع انتشار الوبا بهاوهي خريطة استنتجتها جامعة بريطانية بدراسة تنقلات الافراد ووهان اشهر اعلان ظهور فيروس كورونا اذن ربي يلطف برك,False
شركة لبان المراعي السعودية تقارير وجود صابات بفيروس كورونا المستجد جرى التعتيم عليها,False
قاطع الكويتيون شركة لبان المراعي السعودية تقارير وجود صابات بفيروس كورونا المستجد جرى التعتيم عليها وعلنت عدة جمعيات تعاونية الكويت مقاطعتها لمنتجات شركة المراعي رفض السلطات الكويتية منع ادخال منتجات الشركة السعودية موازين نيوز,False
صحيح يتداول عبر التواصل الجتماعي اكتشاف اصابات بـكورونا بمصنع المراعي الصحة السعودية تكد عدم وجود اصابات بـ ثانيا شركة المراعي نفت الموضوع ثالثا السلطات الكويتية تمنع الموضوع شاعة,True
صحيح يتداول عبر التواصل الجتماعي اكتشاف اصابات بـ بمصنع المراعي الصحة السعودية تكد عدم وجود اصابات بـ ثانيا شركة نفت الموضوع ثالثا السلطات الكويتية تمنع الموضوع,True
طيب اخوي العلامي الكويتي خالد الخبر بمنع الكويت منتجات المراعي لصابة العاملين بالمصنع بمرض كورونا تقول وسيلة رسمية الكويت نشر اللي اشوفه ان المصدر حالة واتس لايصح الاحتجاج النقاش مفتوح الخوة تويتر لديه معلومة يتفضل يشاركنا,True
عاجل رفض السلطات الكويتيه منع ادخال منتجات المراعي السعوديه والتي اعلنت السلطات السعوديه نفسها اكتشاف اصابات لبعض العاملين مصنع المراعي لانتاج الالبان بمرض الكرونا القاتل واغلاق مصانع انتاج الالبان المناطق السعوديه,False
تعرض عدد العاملين مجموعة معامل المراعي الخاصة بالمواد الغذاية لى الصابة بفيروس المر دفع بالسلطات لتحذير رعاياها ويقاف استيراد كافة المراعي,False
20 اصابة بشركة المراعي السعودية الكويت اول دولة قاطعت منتجات الشركة,False
الكويت تمنع دخول المنتوجات السعودية المراعي لاراضيها ثبوت تلوث المنتوجات بفايروس كورونا,False
مثلما قاطعها الكويتيون نشر صحيفة كويتيه لخبر صابة العاملين الامر تكتمت الحكومة السعودية,False
الكويت اكثر اسبوع منعت منتجات المراعي دخولها اكتشاف اصابة العاملين بشركة المراعي بفيروس كورونا وجماعتنا نايمين,False
